api_parsing | 2025-02-28 19:18:49 | INFO | Промежуточно сохранено 627 строк.
api_parsing | 2025-02-28 19:18:51 | INFO | Обработка бренда: bumble-bumble
api_parsing | 2025-02-28 19:18:51 | INFO | Промежуточно сохранено 687 строк.
api_parsing | 2025-02-28 19:18:53 | INFO | Обработка бренда: burberry
api_parsing | 2025-02-28 19:18:54 | INFO | Промежуточно сохранено 716 строк.
api_parsing | 2025-02-28 19:18:56 | INFO | Обработка бренда: buxom
api_parsing | 2025-02-28 19:18:56 | INFO | Промежуточно сохранено 723 строк.
api_parsing | 2025-02-28 19:18:58 | INFO | Обработка бренда: by-rosie-jane
api_parsing | 2025-02-28 19:18:59 | INFO | Промежуточно сохранено 745 строк.
api_parsing | 2025-02-28 19:19:01 | INFO | Обработка бренда: caliray
api_parsing | 2025-02-28 19:19:01 | INFO | Промежуточно сохранено 756 строк.
api_parsing | 2025-02-28 19:19:03 | INFO | Обработка бренда: calvin-klein
api_parsing | 2025-02-28 19:19:04 | ERROR | Серверная ошибка 500 для бренда calvin-klein, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:19:04 | WARNING | Пропускаем бренд calvin-klein, нет данных или ошибка.
api_parsing | 2025-02-28 19:19:04 | INFO | Обработка бренда: canopy
api_parsing | 2025-02-28 19:19:04 | INFO | Промежуточно сохранено 767 строк.
api_parsing | 2025-02-28 19:19:06 | INFO | Обработка бренда: carolina-herrera
api_parsing | 2025-02-28 19:19:07 | INFO | Промежуточно сохранено 791 строк.
api_parsing | 2025-02-28 19:19:09 | INFO | Обработка бренда: caudalie
api_parsing | 2025-02-28 19:19:09 | INFO | Промежуточно сохранено 836 строк.
api_parsing | 2025-02-28 19:19:11 | INFO | Обработка бренда: cay-skin
api_parsing | 2025-02-28 19:19:12 | INFO | Промежуточно сохранено 845 строк.
api_parsing | 2025-02-28 19:19:14 | INFO | Обработка бренда: ceremonia
api_parsing | 2025-02-28 19:19:15 | INFO | Промежуточно сохранено 876 строк.
api_parsing | 2025-02-28 19:19:17 | INFO | Обработка бренда: chanel
api_parsing | 2025-02-28 19:19:17 | INFO | Промежуточно сохранено 919 строк.
api_parsing | 2025-02-28 19:19:19 | INFO | Обработка бренда: charlotte-tilbury
api_parsing | 2025-02-28 19:19:20 | INFO | Промежуточно сохранено 979 строк.
api_parsing | 2025-02-28 19:19:22 | INFO | Обработка бренда: chloe
api_parsing | 2025-02-28 19:19:23 | INFO | Промежуточно сохранено 992 строк.
api_parsing | 2025-02-28 19:19:25 | INFO | Обработка бренда: christophe-robin
api_parsing | 2025-02-28 19:19:25 | ERROR | Серверная ошибка 500 для бренда christophe-robin, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:19:25 | WARNING | Пропускаем бренд christophe-robin, нет данных или ошибка.
api_parsing | 2025-02-28 19:19:25 | INFO | Обработка бренда: ciate
api_parsing | 2025-02-28 19:19:25 | ERROR | Серверная ошибка 500 для бренда ciate, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:19:25 | WARNING | Пропускаем бренд ciate, нет данных или ошибка.
api_parsing | 2025-02-28 19:19:25 | INFO | Обработка бренда: ciele
api_parsing | 2025-02-28 19:19:26 | INFO | Промежуточно сохранено 1002 строк.
api_parsing | 2025-02-28 19:19:28 | INFO | Обработка бренда: cinema-secrets
api_parsing | 2025-02-28 19:19:29 | INFO | Промежуточно сохранено 1005 строк.
api_parsing | 2025-02-28 19:19:31 | INFO | Обработка бренда: clarins
api_parsing | 2025-02-28 19:19:31 | INFO | Промежуточно сохранено 1037 строк.
api_parsing | 2025-02-28 19:19:33 | INFO | Обработка бренда: clean-reserve
api_parsing | 2025-02-28 19:19:34 | INFO | Промежуточно сохранено 1074 строк.
api_parsing | 2025-02-28 19:19:36 | INFO | Обработка бренда: clinique
api_parsing | 2025-02-28 19:19:37 | INFO | Промежуточно сохранено 1134 строк.
api_parsing | 2025-02-28 19:19:39 | INFO | Обработка бренда: color-wow
api_parsing | 2025-02-28 19:19:39 | INFO | Промежуточно сохранено 1175 строк.
api_parsing | 2025-02-28 19:19:41 | INFO | Обработка бренда: commodity
api_parsing | 2025-02-28 19:19:42 | INFO | Промежуточно сохранено 1211 строк.
api_parsing | 2025-02-28 19:19:44 | INFO | Обработка бренда: community-sixty-six
api_parsing | 2025-02-28 19:19:44 | INFO | Промежуточно сохранено 1219 строк.
api_parsing | 2025-02-28 19:19:46 | INFO | Обработка бренда: coola-suncare
api_parsing | 2025-02-28 19:19:47 | INFO | Промежуточно сохранено 1220 строк.
api_parsing | 2025-02-28 19:19:49 | INFO | Обработка бренда: crown-affair
api_parsing | 2025-02-28 19:19:49 | WARNING | 429 при запросе бренда crown-affair, стр. 1. Токен 8bc3bea522msh941d5f19c472aa2p1d9362jsna422162a847e исчерпан. Переключаемся...
api_parsing | 2025-02-28 19:19:50 | INFO | Промежуточно сохранено 1242 строк.
api_parsing | 2025-02-28 19:19:52 | INFO | Обработка бренда: curlsmith
api_parsing | 2025-02-28 19:19:53 | INFO | Промежуточно сохранено 1293 строк.
api_parsing | 2025-02-28 19:19:55 | INFO | Обработка бренда: dae
api_parsing | 2025-02-28 19:19:56 | INFO | Промежуточно сохранено 1311 строк.
api_parsing | 2025-02-28 19:19:58 | INFO | Обработка бренда: dam-dam
api_parsing | 2025-02-28 19:19:58 | INFO | Промежуточно сохранено 1321 строк.
api_parsing | 2025-02-28 19:20:00 | INFO | Обработка бренда: danessa-myricks-beauty
api_parsing | 2025-02-28 19:20:01 | INFO | Промежуточно сохранено 1352 строк.
api_parsing | 2025-02-28 19:20:03 | INFO | Обработка бренда: deborah-lippmann
